Original Product Code,SAP Product Code
H3502201,4005477
H3502202,4005478
H3502203,4005479
H3502204,4005480
H3502205,4005481
H3502206,4005482
H3502310,4005483
H3502311,4005484
H3502312,4005485
H3502313,4005486
H3502314,4005487
H3502315,4005488
H3502316,4005489
H3502317,4005490
H3502318,4005491
H3502330,4005495
H3502331,4005496
H3502332,4005497
H3502333,4005498
H3502334,4005499
H3502335,4005500
H3502336,4005501
H3502337,4005502
H3502338,4005503
H3502339,4005504
H3502340            ,4005505
H3502341            ,4005506
H3502342,4005507
H3502343,4005508
