Original Customer No.,SAP Customer No.
ACT000,10010878
ACT001,10010879
ACT002,10010880
ACT003,10010881
ACT005,10010882
ACT006,10010883
ACT007,10010884
ACT008,10010885
ACT009,10010886
ACT010,10010887
ACT011,10010888
ACT012,10010889
ACT013,10010890
ACT014,10010891
ACT015,10010892
ACT016,10010893
ACT017,10010894
ACT018,10010895
ACT019,10010896
ACT020,10010897
ACT021,10010898
ACT022  ,10010899
ACT023  ,10010900
ACT024  ,10010901
ACT025  ,10010902
ACT026  ,10010903
ACT027  ,10010904
ADV000,10010905
ADV001,10010906
ADV002,10010907
AGF001,10010909
AGF002,10010910
AGW001,10010911
AGW002,10010912
APD001,10010914
AQU001,10009623
AQU002,10010915
AQU003,10010916
ASH001,10010918
ASM000,10010919
ASM001,10010920
ASM002,10010921
ASM005,10010922
AUC001,10010923
AUS001,10010925
AUS002,10010926
BAX001,10010927
BCI001,10010929
BEN001  ,10010930
BIO001,10010931
BLE001,10010932
BLU001,10010933
BUD001,10010935
BUN000,10010936
BUN015,10010937
BUN040,10010938
BUN051,10010939
BUN054,10010940
BUN055,10010941
BUN056,10010942
BUN069,10010943
BUN072,10010944
BUN081,10010945
BUN086,10010946
BUN170,10010947
BUN180,10010948
BUN190,10010949
BUN210,10010950
BUN220,10010951
BUN230,10010952
BUN240,10010953
BUN260,10010954
BUN280,10010955
BUN290,10010956
BUN410,10010957
BUN429,10010958
BUN486,10010959
BUN489,10010960
BUN493,10010961
BUN501,10010962
BUN510,10010963
BUN515,10010964
BUN525,10010965
BUN529,10010966
BUN530,10010967
BUN540,10010968
BUN550,10010969
BUN560,10010970
BUN720,10010971
CAL001,10010972
CAM001,10010973
CAR000,10010974
CAR004,10010975
CAR005,10010976
CAR006,10010977
CAR007,10010978
CAR008,10010979
CAR009,10010980
CAR010,10010981
CAR011,10010982
CAR012,10010983
CAR014,10010984
CAR015,10010985
CAR016,10010986
CAR017,10010987
CAR018,10010988
CAR019,10010989
CAR020,10010990
CAR021,10010991
CAR022,10010992
CAR023,10010993
CAR024,10010994
CAR025,10010995
CAR026,10010996
CAR027,10010997
CAR028,10010998
CAR029,10010999
CAR030,10011000
CAR031  ,10011001
CAR032  ,10011002
CAR033  ,10011003
CAR100,10011004
CAR101,10011005
CEN002  ,10011006
CEN003,10011007
CHE004,10011010
CHE006,10011011
CHE009,10011012
CHE010,10011013
CHE011,10011014
CHE012,10011015
CHE015,10011016
CHE017,10011017
CHE018,10011018
CHE019  ,10011019
CHE020,10011020
CHE021  ,10011021
CHE022  ,10011022
COA002,10011024
COM001,10011025
CON003,10011026
COR000,10011027
COR105,10011028
COR110,10011029
COR115,10011030
COR117,10011031
COR120,10011032
COR125,10011033
COR130,10011034
COR140,10011035
COR150,10011036
COR155,10011037
COR159  ,10011038
COR165,10011040
COR170,10011042
COR175,10011043
COR180,10011044
COR185,10011045
COR190,10011046
COR205,10011047
COR210,10011048
COR213NR,10011049
COR215,10011050
COR220,10011051
COR225,10011052
COR230,10011053
COR235,10011054
COR236NR,10011055
COR237,10011056
COR240,10011057
COR245,10011058
COR248,10011059
COR255,10011060
COR305,10011061
COR310,10011062
COR315,10011063
COR320,10011064
COR325,10011065
COR330,10011066
COR335,10011067
COR340,10011068
COR341NR,10011069
COR346,10011070
COR347,10011071
COR350,10011072
COR351NR,10011073
COR355,10011074
COR360,10011075
COR360NR,10011076
CRT001,10011078
CRT001NR,10011079
CRT002,10011080
CRT002NR,10011081
CRT003,10011082
CRT003NR,10011083
CRT004,10011084
CRT004NR,10011085
CRT005,10011086
CRT005NR,10011087
CRT006,10011088
CRT006NR,10011089
CRT007,10011090
CRT007NR,10011091
CRT008,10011092
CRT008NR,10011093
CRT009NR,10011094
CRT010,10011095
CRT010NR,10011096
CRT011,10011097
CRT011NR,10011098
CRT012,10011099
CRT012NR,10011100
CRT013,10011101
CRT013NR,10011102
CRT014,10011103
CRT014NR,10011104
CRT015,10011105
CRT015NR,10011106
CRT017,10011107
CRT017NR,10011108
CRT018,10011109
CRT018NR,10011110
CRT019,10011111
CRT019NR,10011112
CRT021,10011113
CRT021NR,10011114
CRT022,10011115
CRT022NR,10011116
CRT023,10011117
CRT023NR,10011118
CRT024,10010441
CRT024NR,10010442
CRT025,10010443
CRT025NR,10010444
CRT026,10010445
CRT026NR,10010446
CRT027,10010447
CRT027NR,10010448
CRT028,10010449
CRT028NR,10010450
CRT029,10010451
CRT029NR,10010452
CRT030,10010453
CRT030NR,10010454
CRT032,10010455
CRT032NR,10010456
CRT035,10010457
CRT035NR,10010458
CUD001,10010459
CYC001,10010460
DAI001,10010461
DAI002,10010462
DAN001,10010463
DAV002,10010464
DIM001,10010466
DOW002,10010467
DRA002,10010468
ECO001,10010469
ELD000,10010470
ELE001,10010471
ELE002  ,10010472
ELL001,10010473
EXI001,10010474
EXP999,10010475
FAR001,10010476
FAR002,10010477
FAR003,10010478
FAR004,10010479
FAR005,10010480
FAR006,10010481
FAR007,10010482
FAR008,10010483
FAR009,10010484
FAR010,10010485
FAR011,10010486
FAR012,10010487
FAR013,10010488
FAR014,10010489
FAR015,10010490
