Original Customer No.,SAP Customer No.
ACT000,0010010878
ACT001,0010010879
ACT002,0010010880
ACT003,0010010881
ACT005,0010010882
ACT006,0010010883
ACT007,0010010884
ACT008,0010010885
ACT009,0010010886
ACT010,0010010887
ACT011,0010010888
ACT012,0010010889
ACT013,0010010890
ACT014,0010010891
ACT015,0010010892
ACT016,0010010893
ACT017,0010010894
ACT018,0010010895
ACT019,0010010896
ACT020,0010010897
ACT021,0010010898
ACT022  ,0010010899
ACT023  ,0010010900
ACT024  ,0010010901
ACT025  ,0010010902
ACT026  ,0010010903
ACT027  ,0010010904
ADV000,0010010905
ADV001,0010010906
ADV002,0010010907
AGF001,0010010909
AGF002,0010010910
AGW001,0010010911
AGW002,0010010912
APD001,0010010914
AQU001,0010009623
AQU002,0010010915
AQU003,0010010916
ASH001,0010010918
ASM000,0010010919
ASM001,0010010920
ASM002,0010010921
ASM005,0010010922
AUC001,0010010923
AUS001,0010010925
AUS002,0010010926
BAX001,0010010927
BCI001,0010010929
BEN001  ,0010010930
BIO001,0010010931
BLE001,0010010932
BLU001,0010010933
BUD001,0010010935
BUN000,0010010936
BUN015,0010010937
BUN040,0010010938
BUN051,0010010939
BUN054,0010010940
BUN055,0010010941
BUN056,0010010942
BUN069,0010010943
BUN072,0010010944
BUN081,0010010945
BUN086,0010010946
BUN170,0010010947
BUN180,0010010948
BUN190,0010010949
BUN210,0010010950
BUN220,0010010951
BUN230,0010010952
BUN240,0010010953
BUN260,0010010954
BUN280,0010010955
BUN290,0010010956
BUN410,0010010957
BUN429,0010010958
BUN486,0010010959
BUN489,0010010960
BUN493,0010010961
BUN501,0010010962
BUN510,0010010963
BUN515,0010010964
BUN525,0010010965
BUN529,0010010966
BUN530,0010010967
BUN540,0010010968
BUN550,0010010969
BUN560,0010010970
BUN720,0010010971
CAL001,0010010972
CAM001,0010010973
CAR000,0010010974
CAR004,0010010975
CAR005,0010010976
CAR006,0010010977
CAR007,0010010978
CAR008,0010010979
CAR009,0010010980
CAR010,0010010981
CAR011,0010010982
CAR012,0010010983
CAR014,0010010984
CAR015,0010010985
CAR016,0010010986
CAR017,0010010987
CAR018,0010010988
CAR019,0010010989
CAR020,0010010990
CAR021,0010010991
CAR022,0010010992
CAR023,0010010993
CAR024,0010010994
CAR025,0010010995
CAR026,0010010996
CAR027,0010010997
CAR028,0010010998
CAR029,0010010999
CAR030,0010011000
CAR031  ,0010011001
CAR032  ,0010011002
CAR033  ,0010011003
CAR100,0010011004
CAR101,0010011005
CEN002  ,0010011006
CEN003,0010011007
CHE004,0010011010
CHE006,0010011011
CHE009,0010011012
CHE010,0010011013
CHE011,0010011014
CHE012,0010011015
CHE015,0010011016
CHE017,0010011017
CHE018,0010011018
CHE019  ,0010011019
CHE020,0010011020
CHE021  ,0010011021
CHE022  ,0010011022
COA002,0010011024
COM001,0010011025
CON003,0010011026
COR000,0010011027
COR105,0010011028
COR110,0010011029
COR115,0010011030
COR117,0010011031
COR120,0010011032
COR125,0010011033
COR130,0010011034
COR140,0010011035
COR150,0010011036
COR155,0010011037
COR159  ,0010011038
COR165,0010011040
COR170,0010011042
COR175,0010011043
COR180,0010011044
COR185,0010011045
COR190,0010011046
COR205,0010011047
COR210,0010011048
COR213NR,0010011049
COR215,0010011050
COR220,0010011051
COR225,0010011052
COR230,0010011053
COR235,0010011054
COR236NR,0010011055
COR237,0010011056
COR240,0010011057
COR245,0010011058
COR248,0010011059
COR255,0010011060
COR305,0010011061
COR310,0010011062
COR315,0010011063
COR320,0010011064
COR325,0010011065
COR330,0010011066
COR335,0010011067
COR340,0010011068
COR341NR,0010011069
COR346,0010011070
COR347,0010011071
COR350,0010011072
COR351NR,0010011073
COR355,0010011074
COR360,0010011075
COR360NR,0010011076
CRT001,0010011078
CRT001NR,0010011079
CRT002,0010011080
CRT002NR,0010011081
CRT003,0010011082
CRT003NR,0010011083
CRT004,0010011084
CRT004NR,0010011085
CRT005,0010011086
CRT005NR,0010011087
CRT006,0010011088
CRT006NR,0010011089
CRT007,0010011090
CRT007NR,0010011091
CRT008,0010011092
CRT008NR,0010011093
CRT009NR,0010011094
CRT010,0010011095
CRT010NR,0010011096
CRT011,0010011097
CRT011NR,0010011098
CRT012,0010011099
CRT012NR,0010011100
CRT013,0010011101
CRT013NR,0010011102
CRT014,0010011103
CRT014NR,0010011104
CRT015,0010011105
CRT015NR,0010011106
CRT017,0010011107
CRT017NR,0010011108
CRT018,0010011109
CRT018NR,0010011110
CRT019,0010011111
CRT019NR,0010011112
CRT021,0010011113
CRT021NR,0010011114
CRT022,0010011115
CRT022NR,0010011116
CRT023,0010011117
CRT023NR,0010011118
CRT024,0010010441
CRT024NR,0010010442
CRT025,0010010443
CRT025NR,0010010444
CRT026,0010010445
CRT026NR,0010010446
CRT027,0010010447
CRT027NR,0010010448
CRT028,0010010449
CRT028NR,0010010450
CRT029,0010010451
CRT029NR,0010010452
CRT030,0010010453
CRT030NR,0010010454
CRT032,0010010455
CRT032NR,0010010456
CRT035,0010010457
CRT035NR,0010010458
CUD001,0010010459
CYC001,0010010460
DAI001,0010010461
DAI002,0010010462
DAN001,0010010463
DAV002,0010010464
DIM001,0010010466
DOW002,0010010467
DRA002,0010010468
ECO001,0010010469
ELD000,0010010470
ELE001,0010010471
ELE002  ,0010010472
ELL001,0010010473
EXI001,0010010474
EXP999,0010010475
FAR001,0010010476
FAR002,0010010477
FAR003,0010010478
FAR004,0010010479
FAR005,0010010480
FAR006,0010010481
FAR007,0010010482
FAR008,0010010483
FAR009,0010010484
FAR010,0010010485
FAR011,0010010486
FAR012,0010010487
FAR013,0010010488
FAR014,0010010489
FAR015,0010010490
FAR016,0010010491
FAR017,0010010492
FAR018,0010010493
FAR019,0010010494
FAR020,0010010495
FAR021,0010010496
FAR022,0010010497
FAR023,0010010498
FAR024,0010010499
FAR025,0010010500
FAR026,0010010501
FAR027,0010010502
FAR028,0010010503
FAR029,0010010504
FAR030,0010010505
FAR031,0010010506
FAR032,0010010507
FAR033,0010010508
FAR034,0010010509
FAR035,0010010510
FAR036,0010010511
FAR037,0010010512
FAR038,0010010513
FAR039,0010010514
FAR040,0010010515
FAR041,0010010516
FAR042,0010010517
FAR043,0010010518
FAR044,0010010519
FAR045,0010010520
FAR046,0010010521
FAR047,0010010522
FAR049,0010010523
FAR050,0010010524
FAR051,0010010525
FAR052,0010010526
FAR052NR,0010010527
FAR201,0010010528
FAR202,0010010529
FAR203,0010010530
FAR204,0010010531
FAR205,0010010532
FAR206,0010010533
FAR207,0010010534
FAR208,0010010535
FAR209,0010010536
FAR210,0010010537
FAR211,0010010538
FAR212,0010010539
FAR213,0010010540
FAR214,0010010541
FAR215,0010010542
FAR216,0010010543
FAR217,0010010544
FAR218,0010010545
FAR219,0010010546
FAR220,0010010547
FAR221,0010010548
FAR222,0010010549
FAR223,0010010550
FAR224,0010010551
FAR225,0010010552
FAR226,0010010553
FAR227,0010010554
FAR228,0010010555
FAR229,0010010556
FAR230,0010010557
FAR231,0010010558
FAR232,0010010559
FAR233,0010010560
FAR234,0010010561
FAR235,0010010562
FAR236,0010010563
