Original Customer No.,SAP Customer No.
10010878,0010010878
10010879,0010010879
10010880,0010010880
10010881,0010010881
10010882,0010010882
10010883,0010010883
10010884,0010010884
10010885,0010010885
10010886,0010010886
10010887,0010010887
10010888,0010010888
10010889,0010010889
10010890,0010010890
10010891,0010010891
10010892,0010010892
10010893,0010010893
10010894,0010010894
10010895,0010010895
10010896,0010010896
10010897,0010010897
10010898,0010010898
10010899,0010010899
10010900,0010010900
10010901,0010010901
10010902,0010010902
10010903,0010010903
10010904,0010010904
10010905,0010010905
10010906,0010010906
10010907,0010010907
10010909,0010010909
10010910,0010010910
10010911,0010010911
10010912,0010010912
10010914,0010010914
10009623,0010009623
10010915,0010010915
10010916,0010010916
10010918,0010010918
10010919,0010010919
10010920,0010010920
10010921,0010010921
10010922,0010010922
10010923,0010010923
10010925,0010010925
10010926,0010010926
10010927,0010010927
10010929,0010010929
10010930,0010010930
10010931,0010010931
10010932,0010010932
10010933,0010010933
10010935,0010010935
10010936,0010010936
10010937,0010010937
10010938,0010010938
10010939,0010010939
10010940,0010010940
10010941,0010010941
10010942,0010010942
10010943,0010010943
10010944,0010010944
10010945,0010010945
10010946,0010010946
10010947,0010010947
10010948,0010010948
10010949,0010010949
10010950,0010010950
10010951,0010010951
10010952,0010010952
10010953,0010010953
10010954,0010010954
10010955,0010010955
10010956,0010010956
10010957,0010010957
10010958,0010010958
10010959,0010010959
10010960,0010010960
10010961,0010010961
10010962,0010010962
10010963,0010010963
10010964,0010010964
10010965,0010010965
10010966,0010010966
10010967,0010010967
10010968,0010010968
10010969,0010010969
10010970,0010010970
10010971,0010010971
10010972,0010010972
10010973,0010010973
10010974,0010010974
10010975,0010010975
10010976,0010010976
10010977,0010010977
10010978,0010010978
10010979,0010010979
10010980,0010010980
10010981,0010010981
10010982,0010010982
10010983,0010010983
10010984,0010010984
10010985,0010010985
10010986,0010010986
10010987,0010010987
10010988,0010010988
10010989,0010010989
10010990,0010010990
10010991,0010010991
10010992,0010010992
10010993,0010010993
10010994,0010010994
10010995,0010010995
10010996,0010010996
10010997,0010010997
10010998,0010010998
10010999,0010010999
10011000,0010011000
10011001,0010011001
10011002,0010011002
10011003,0010011003
10011004,0010011004
10011005,0010011005
10011006,0010011006
10011007,0010011007
10011010,0010011010
10011011,0010011011
10011012,0010011012
