Original Product Code,SAP Product Code
AB00532,4005218
AB00540,4005219
AB00550,4005220
AB00565,4005221
AD00110045,4005222
AD00110088,4005223
AD0014045,4005224
AD0014088,4005225
AD0015045,4005226
AD0015088,4005227
AD0016588,4005228
AD0018088,4005229
AD00210015,4005230
AD00210030,4005231
AD00210045,4005232
AD0021005,4005233
AD00210060,4005234
AD00210088,4005235
AD00215015,4005236
AD00215045,4005237
AD00215045A,4005238
AD0023215,4005239
AD0023245,4005240
AD0023288,4005241
AD0024015,4005242
AD0024045,4005243
AD0024088,4005244
AD0025015,4005245
AD0025045,4005246
AD0025088,4005247
AD0026515,4005248
AD0026545,4005249
AD0026588,4005250
AD0028015,4005251
AD0028045,4005252
AD0028088,4005253
AD00310011,4005254
AD00310015,4005255
AD00310022,4005256
AD00310030,4005257
AD00310042,4005258
AD0031005,4005259
AD00310060,4005260
AD00310088,4005261
AD00315042,4005262
AD00315088,4005263
AD0034042,4005264
AD0035042,4005265
AD0035088,4005266
AD0036542,4005267
AD0038042,4005268
AD004504042,4005269
AD00510088,4005270
AD01010045,4005271
AD01010045E,4005272
AD01010088,4005273
AD01010088E,4005274
AD01810088,4005275
AD0184088,4005276
AD0185088,4005277
AD0186588,4005278
AD0188088,4005279
AD01910045,4005280
AD01910045E,4005281
AD02010045,4005282
AD02010045E,4005283
AD02310088,4005284
AD02410045,4005286
AD02410088,4005287
AD02415045,4005288
AD02415088,4005289
AD0243288,4005290
AD0244045,4005291
AD0244088,4005292
AD0245045,4005293
AD0245088,4005294
AD0246545,4005295
AD0246588,4005296
AD0248045,4005297
AD0248088,4005298
AD025105045,4005299
AD025106545,4005300
AD025108045,4005301
AD025151045,4005302
AD025151088,4005303
AD025805045,4005304
AD03610088,4005305
AD042105088,4005306
AD047105554,4005307
AD048105444,4005308
AD048105554,4005309
AD04885444,4005310
AD04885544,4005311
AD0491005088,4005312
AD054100,4005313
AD054150,4005314
AD05480,4005315
AD055100,4005316
AD055100E,4005317
AD055150,4005318
AD056100,4005319
AD057150,4005320
AD05732,4005322
AD05740,4005323
AD05750,4005324
AD05765,4005325
AD05780,4005326
AD058100,4005327
AD058100C,4005328
AD058150,4005329
AD058150C,4005330
AD05880C,4005331
AD063100,4005332
AD063150,4005333
AD06340,4005334
AD06350,4005335
AD06365,4005336
AD06380,4005337
AD06480,4005338
AD066100100,4005339
AD0663232,4005340
AD0664040,4005341
AD0665050,4005342
AD0673232,4005343
AD0674040,4005344
AD0675050,4005345
AD0676565,4005346
AD07210050,4005347
AD07210065,4005348
AD07210080,4005349
AD072150100,4005350
AD0724032,4005351
AD0725040,4005352
AD0726540,4005353
AD0726550,4005354
AD0728050,4005355
AD0728065,4005356
AD07310040,4005357
AD07310050,4005358
AD07310065,4005359
AD07310080,4005360
AD073150100,4005361
AD0734032,4005362
AD0735040,4005363
AD0736540,4005364
AD0736550,4005365
AD0738050,4005366
