Original Product Code,SAP Product Code
AB00532,4009439
AB00540,4009440
AB00550,4009441
AB00565,4009325
AD00110045,4009326
AD00110088,4009327
AD0014045,4009328
AD0014088,4009329
AD0015045,4009330
AD0015088,4009331
AD0016588,4009332
AD0018088,4009333
AD00210015,4009334
AD00210030,4009335
AD00210045,4009336
AD0021005,4009337
AD00210060,4009338
AD00210088,4009339
AD00215015,4009340
AD00215045,4009341
AD00215045A,4009342
AD0023215,4009344
AD0023245,4009345
AD0023288,4009346
AD0024015,4009347
AD0024045,4009348
AD0024088,4009349
AD0025015,4009350
AD0025045,4009351
AD0025088,4009352
AD0026515,4009353
AD0026545,4009354
AD0026588,4009355
AD0028015,4009356
AD0028045,4009357
AD0028088,4009358
AD00310011,4009359
AD00310015,4009360
AD00310022,4009361
AD00310030,4009362
AD00310042,4009363
AD0031005,4009364
AD00310060,4009365
AD00310088,4009366
AD00315042,4009367
AD00315088,4009368
AD0034042,4009369
AD0035042,4009370
AD0035088,4009371
AD0036542,4009372
AD0038042,4009373
AD004504042,4009374
AD00510088,4009375
AD01010045,4009376
AD01010045E,4009377
AD01010088,4009378
AD01010088E,4009379
AD01810088,4009380
AD0184088,4009381
AD0185088,4009382
AD0186588,4009383
AD0188088,4009384
AD01910045,4009385
AD01910045E,4009386
AD02010045,4009387
AD02010045E,4009388
AD02310088,4009389
AD02410045,4009391
AD02410088,4009392
AD02415045,4009393
AD02415088,4009394
AD0243288,4009395
AD0244045,4009396
AD0244088,4009397
AD0245045,4009398
AD0245088,4009399
AD0246545,4009400
AD0246588,4009401
AD0248045,4009402
AD0248088,4009403
AD025105045,4009404
AD025106545,4009405
AD025108045,4009406
AD025151045,4009407
AD025151088,4009408
AD025805045,4009409
AD03610088,4009410
AD042105088,4009411
AD047105554,4009412
AD048105444,4009413
AD048105554,4009414
AD04885444,4009415
AD04885544,4009416
AD0491005088,4009417
AD054100,4009418
AD054150,4009419
AD05480,4009420
AD055100,4009421
AD055100E,4009422
AD055150,4009423
AD056100,4009424
AD057150,4009426
AD05732,4009428
AD05740,4009429
