SAP Customer No.,Original Customer No.
0010010878,ACT000
0010010879,ACT001
0010010880,ACT002
0010010881,ACT003
0010010882,ACT005
0010010883,ACT006
0010010884,ACT007
0010010885,ACT008
0010010886,ACT009
0010010887,ACT010
0010010888,ACT011
0010010889,ACT012
0010010890,ACT013
0010010891,ACT014
0010010892,ACT015
0010010893,ACT016
0010010894,ACT017
0010010895,ACT018
0010010896,ACT019
0010010897,ACT020
0010010898,ACT021
0010010899,ACT022  
0010010900,ACT023  
0010010901,ACT024  
0010010902,ACT025  
0010010903,ACT026  
0010010904,ACT027  
0010010905,ADV000
0010010906,ADV001
0010010907,ADV002
0010010909,AGF001
0010010910,AGF002
0010010911,AGW001
0010010912,AGW002
0010010914,APD001
0010009623,AQU001
0010010915,AQU002
0010010916,AQU003
0010010918,ASH001
0010010919,ASM000
0010010920,ASM001
0010010921,ASM002
0010010922,ASM005
0010010923,AUC001
0010010925,AUS001
0010010926,AUS002
0010010927,BAX001
0010010929,BCI001
0010010930,BEN001  
0010010931,BIO001
0010010932,BLE001
0010010933,BLU001
0010010935,BUD001
0010010936,BUN000
0010010937,BUN015
0010010938,BUN040
0010010939,BUN051
0010010940,BUN054
0010010941,BUN055
0010010942,BUN056
0010010943,BUN069
0010010944,BUN072
0010010945,BUN081
0010010946,BUN086
0010010947,BUN170
0010010948,BUN180
0010010949,BUN190
0010010950,BUN210
0010010951,BUN220
0010010952,BUN230
0010010953,BUN240
0010010954,BUN260
0010010955,BUN280
0010010956,BUN290
0010010957,BUN410
0010010958,BUN429
0010010959,BUN486
0010010960,BUN489
0010010961,BUN493
0010010962,BUN501
0010010963,BUN510
0010010964,BUN515
0010010965,BUN525
0010010966,BUN529
0010010967,BUN530
0010010968,BUN540
0010010969,BUN550
0010010970,BUN560
0010010971,BUN720
0010010972,CAL001
0010010973,CAM001
0010010974,CAR000
0010010975,CAR004
0010010976,CAR005
0010010977,CAR006
0010010978,CAR007
0010010979,CAR008
0010010980,CAR009
0010010981,CAR010
0010010982,CAR011
0010010983,CAR012
0010010984,CAR014
0010010985,CAR015
0010010986,CAR016
0010010987,CAR017
0010010988,CAR018
0010010989,CAR019
0010010990,CAR020
0010010991,CAR021
0010010992,CAR022
0010010993,CAR023
0010010994,CAR024
0010010995,CAR025
0010010996,CAR026
0010010997,CAR027
0010010998,CAR028
0010010999,CAR029
0010011000,CAR030
0010011001,CAR031  
0010011002,CAR032  
0010011003,CAR033  
0010011004,CAR100
0010011005,CAR101
0010011006,CEN002  
0010011007,CEN003
0010011010,CHE004
0010011011,CHE006
0010011012,CHE009
0010011013,CHE010
0010011014,CHE011
0010011015,CHE012
0010011016,CHE015
0010011017,CHE017
0010011018,CHE018
0010011019,CHE019  
0010011020,CHE020
0010011021,CHE021  
0010011022,CHE022  
0010011024,COA002
0010011025,COM001
0010011026,CON003
0010011027,COR000
0010011028,COR105
0010011029,COR110
0010011030,COR115
0010011031,COR117
0010011032,COR120
0010011033,COR125
0010011034,COR130
0010011035,COR140
0010011036,COR150
0010011037,COR155
0010011038,COR159  
0010011040,COR165
0010011042,COR170
0010011043,COR175
0010011044,COR180
0010011045,COR185
0010011046,COR190
0010011047,COR205
0010011048,COR210
0010011049,COR213NR
0010011050,COR215
0010011051,COR220
0010011052,COR225
0010011053,COR230
0010011054,COR235
0010011055,COR236NR
0010011056,COR237
0010011057,COR240
0010011058,COR245
0010011059,COR248
0010011060,COR255
0010011061,COR305
0010011062,COR310
0010011063,COR315
0010011064,COR320
0010011065,COR325
0010011066,COR330
0010011067,COR335
0010011068,COR340
0010011069,COR341NR
0010011070,COR346
0010011071,COR347
0010011072,COR350
0010011073,COR351NR
0010011074,COR355
0010011075,COR360
0010011076,COR360NR
0010011078,CRT001
0010011079,CRT001NR
0010011080,CRT002
0010011081,CRT002NR
0010011082,CRT003
0010011083,CRT003NR
0010011084,CRT004
0010011085,CRT004NR
0010011086,CRT005
0010011087,CRT005NR
0010011088,CRT006
0010011089,CRT006NR
0010011090,CRT007
0010011091,CRT007NR
0010011092,CRT008
0010011093,CRT008NR
0010011094,CRT009NR
0010011095,CRT010
0010011096,CRT010NR
0010011097,CRT011
0010011098,CRT011NR
0010011099,CRT012
0010011100,CRT012NR
0010011101,CRT013
0010011102,CRT013NR
0010011103,CRT014
0010011104,CRT014NR
0010011105,CRT015
0010011106,CRT015NR
0010011107,CRT017
0010011108,CRT017NR
0010011109,CRT018
0010011110,CRT018NR
0010011111,CRT019
0010011112,CRT019NR
0010011113,CRT021
0010011114,CRT021NR
0010011115,CRT022
0010011116,CRT022NR
0010011117,CRT023
0010011118,CRT023NR
0010010441,CRT024
0010010442,CRT024NR
0010010443,CRT025
0010010444,CRT025NR
0010010445,CRT026
0010010446,CRT026NR
0010010447,CRT027
0010010448,CRT027NR
0010010449,CRT028
0010010450,CRT028NR
0010010451,CRT029
0010010452,CRT029NR
0010010453,CRT030
0010010454,CRT030NR
0010010455,CRT032
0010010456,CRT032NR
0010010457,CRT035
0010010458,CRT035NR
0010010459,CUD001
0010010460,CYC001
0010010461,DAI001
0010010462,DAI002
0010010463,DAN001
0010010464,DAV002
0010010466,DIM001
0010010467,DOW002
0010010468,DRA002
0010010469,ECO001
0010010470,ELD000
0010010471,ELE001
0010010472,ELE002  
0010010473,ELL001
0010010474,EXI001
0010010475,EXP999
0010010476,FAR001
0010010477,FAR002
0010010478,FAR003
0010010479,FAR004
0010010480,FAR005
0010010481,FAR006
0010010482,FAR007
0010010483,FAR008
